      Table 2. Recommended Rest Frequencies for Observed Interstellar Molecular Lines.                                              
                                                                                                                                    
_____________________________________________________________________________________________________________                       
                                                                                                                                    
  Frequency  Unc.  Formula    Quantum Numbers              Tr(K)  Source         Telescope    Astr.  Lab.                           
                                                          /Ta(K)                              Ref.   Ref.                           
_____________________________________________________________________________________________________________                       
                                                                                                                                    
   68972.154*( 4) SO2        6(1,5)-6(0,6)                 0.8   OriMC-1         NRAO    11m  Joh76                                 
   76204.501 (60) C3H        2P1/2 J=7/2-5/2a              0.12  IRC+10216       OSO     20m  Tha85  Tha85                          
   76247.27  (19) CH3OH      11(1)-10(2) A-                0.6   OriMC-1         NRAO    11m  Jen79  Sas84                          
   76305.727 (50) DNC        1-0                           0.34  NGC 2264        NRAO    11m  God77  Cre76                          
   76362.17 *(16) CH3OCH3    7(2,5)-7(1,6) AE+EA            b    OriMC-1         OSO     20m  Joh84                                 
   76364.26 *(10) CH3OCH3    7(2,5)-7(1,6) EE              0.30b OriMC-1         OSO     20m  Joh84                                 
   76366.35 *( 4) CH3OCH3    7(2,5)-7(1,6) AA               b    OriMC-1         OSO     20m  Joh84                                 
   76412.170*( 5) SO2        10(1,9)-9(2,8)                2.5   OriMC-1         OSO     20m  Sch83                                 
   76509.67  (10) CH3OH      5(0)-4(1) E                   0.6   OriMC-1         NRAO    11m  Jen79  Sas84                          
U  76648.6   (15) unidentified                             0.09  Sgr B2          BTL      7m  Cum85                                 
   76701.834*(87) HCOOCH3    6(2,4)-5(2,3) E               0.25  OriMC-1         OSO     20m  Ell80                                 
   76711.160*(20) HCOOCH3    6(2,4)-5(2,3) A               0.22  OriMC-1         OSO     20m  Ell80                                 
   76796.094*(88) HCOOCH3    6(1,5)-5(1,4) E               0.22  OriMC-1         OSO     20m  Joh84                                 
   76804.010*(21) HCOOCH3    6(1,5)-5(1,4) A               0.23  OriMC-1         OSO     20m  Joh84                                 
   76866.1  *(10) CH3CHO?    4(0,4)-3(0,3) E               0.13  Sgr B2          BTL      7m  Cum85                                 
   76878.91 *( 6) CH3CHO?    4(0,4)-3(0,3) A               0.10  Sgr B2          BTL      7m  Cum85                                 
   76972.62 *(14) C3O        8-7                           0.059 TMC-1           NRAO    12m  Bro84a                                
   77107.86  ( 9) N2D+       1-0 F1=1-1                    0.25  L134N           NRAO    11m  Sny77  And77                          
   77109.61  ( 8) N2D+       1-0 F1=2-1                    0.30  L134N           NRAO    11m  Sny77  And77                          
   77112.2   ( 1) N2D+       1-0 F1=0-1                    0.15  L134N           NRAO    11m  Sny77  And77                          
   77214.361*( 4) HC5N       29-28                         0.25  IRC+10216       OSO     20m  Joh84                                 
   77633.827*(16) CH2CHCN?   8(1,7)-7(1,6)                 0.12  Sgr B2          BTL      7m  Cum85                                 
U  77978.5   (13) unidentified                             0.13  Sgr B2          BTL      7m  Cum85                                 
U  77983.         unidentified                             0.20  OriMC-1         OSO     20m  Joh84                                 
   78183.631*(12) CH3CH2CN   9(1,9)-8(1,8)                 0.25  OriMC-1         OSO     20m  Joh84                                 
   78361.41 *(15) CH3OCH3    6(2,4)-6(1,5) AE+EA            b    OriMC-1         OSO     20m  Joh84                                 
   78363.59 *( 9) CH3OCH3    6(2,4)-6(1,5) EE              0.25b OriMC-1         OSO     20m  Joh84                                 
   78365.77 *( 4) CH3OCH3    6(2,4)-6(1,5) AA               b    OriMC-1         OSO     20m  Joh84                                 
   78479.41 *(16) HCOOCH3    7(1,7)-6(1,6) E               0.75b OriMC-1         OSO     20m  Joh84                                 
   78481.394*(28) HCOOCH3    7(1,7)-6(1,6) A               0.65b OriMC-1         OSO     20m  Joh84                                 
   78856.40 *(10) CH3OCH3    13(2,11)-13(1,12) AE+EA        b    OriMC-1         OSO     20m  Joh84                                 
   78857.91 *( 8) CH3OCH3    13(2,11)-13(1,12) EE          0.38b OriMC-1         OSO     20m  Joh84                                 
   78859.43 *( 6) CH3OCH3    13(2,11)-13(1,12) AA           b    OriMC-1         OSO     20m  Joh84                                 
   79098.65 *(96) CH3CHO     4(1,3)-3(1,2) E               0.15  Sgr B2          BTL      7m  Cum85                                 
   79150.131*(34) CH3CHO     4(1,3)-3(1,2) A               0.3   Sgr B2          NRAO    11m  Lis78                                 
   79151.01 *( 2) C3N        8-7 J=17/2-15/2               0.27  IRC+10216       OSO     20m  Joh84  Got83                          
   79169.77 *( 2) C3N        8-7 J=15/2-13/2               0.27  IRC+10216       OSO     20m  Joh84  Got83                          
U  79220.         unidentified                             0.043 Sgr B2          BTL      7m  Wan78                                 
U  79221.9   (50) unidentified                             0.05  Sgr B2          BTL      7m  Cum85                                 
   79350.476*( 8) H13CCCN    9-8                           0.56  Sgr B2          BTL      7m  Wan78                                 
   79449.73  ( 9) NH2CN      4(1,4)-3(1,3)                 0.27  Sgr B2          BTL      7m  Wan78  Joh76a                         
   79581.3  *( 5) 13CH3OH    5(-1)-4(0) E                  0.15  OriMC-1         OSO     20m  Joh84                                 
   79677.507*( 7) CH3CH2CN   9(0,9)-8(0,8)                 0.25  OriMC-1         OSO     20m  Joh84                                 
   79753.49 *( 7) CH3OCH3    15(3,13)-14(4,10) AA           b    OriMC-1         OSO     20m  Joh84                                 
   79756.55 *(20) CH3OCH3    15(3,13)-14(4,10) EE          0.06b OriMC-1         OSO     20m  Joh84                                 
   79759.52 *(34) CH3OCH3    15(3,13)-14(4,10) EA           b    OriMC-1         OSO     20m  Joh84                                 
   79759.68 *(34) CH3OCH3    15(3,13)-14(4,10) AE           b    OriMC-1         OSO     20m  Joh84                                 
   79781.71 *(16) HCOOCH3    7(0,7)-6(0,6) E               0.30b OriMC-1         OSO     20m  Joh84                                 
   79783.893*(29) HCOOCH3    7(0,7)-6(0,6) A                b    OriMC-1         OSO     20m  Joh84                                 
   79876.712*( 5) HC5N       30-29                         0.25  IRC+10216       OSO     20m  Joh84                                 
   79979.596 (90) NH2CN      4(0,4)-3(0,3)                 0.07  Sgr B2          NRAO    11m  Tur77  Joh76a                         
   80076.606*(48) H2CCO      4(1,4)-3(1,3)                 0.1   Sgr B2          NRAO    11m  Tur77                                 
   80404.898*(12) CH3CH2CN   9(2,8)-8(2,7)                 0.25  OriMC-1         OSO     20m  Joh84                                 
U  80484.         unidentified                            ~0.2   Sgr B2          NRAO    11m  Tur75a                                
   80504.60  (10) NH2CN      4(1,3)-3(1,2)                 0.36g Sgr B2          NRAO    11M  Tur75a Joh76a                         
   80536.24  (10) CH3OCH3    5(2,3)-5(1,4) AE+EA            b    Sgr B2          NRAO    11m  Tur75a Lov79                          
   80538.54  (10) CH3OCH3    5(2,3)-5(1,4) EE              0.2bg Sgr B2          NRAO    11m  Tur75a Lov79                          
   80540.88  (10) CH3OCH3    5(2,3)-5(1,4) AA               b    Sgr B2          NRAO    11m  Tur75a Lov79                          
   80578.283*(53) HDO        1(1,0)-1(1,1)                ~0.4g  OriMC-1         NRAO    11m  Tur75b                                
   80602.135*(11) CH3CH2CN   9(6,4)-8(6,2)                  b    OriMC-1         OSO     20m  Olo84                                 
   80602.135*(11) CH3CH2CN   9(6,3)-8(6,2)                 0.3b  OriMC-1         OSO     20m  Olo84                                 
   80604.58 *( 1) CH3CH2CN   9(5,4)-8(5,3)                  b    OriMC-1         OSO     20m  Olo84                                 
   80604.58 *( 1) CH3CH2CN   9(5,5)-8(5,4)                 0.4b  OriMC-1         OSO     20m  Olo84                                 
   80606.211*(12) CH3CH2CN   9(7,2)-8(7,1)                  b    OriMC-1         OSO     20m  Olo84                                 
   80606.211*(12) CH3CH2CN   9(7,3)-8(7,2)                 0.2b  OriMC-1         OSO     20m  Olo84                                 
   80619.233*(12) CH3CH2CN   9(4,6)-8(4,5)                 0.12b OriMC-1         NRAO    11m  Hol80                                 
   80619.689*(12) CH3CH2CN   9(4,5)-8(4,4)                  b    OriMC-1         NRAO    11m  Hol80                                 
   80649.873*(12) CH3CH2CN   9(3,7)-8(3,6)                 0.04  OriMC-1         NRAO    11m  Hol80                                 
   80682.813*(12) CH3CH2CN   9(3,6)-8(3,5)                 0.05  OriMC-1         NRAO    11m  Hol80                                 
U  80733.    ( 1) unidentified                             0.04  Sgr B2          NRAO    11m  Hol80                                 
   80832.075*(51) H2CCO      4(0,4)-3(0,3)                 0.1   Sgr B2          NRAO    11m  Tur77                                 
   80993.16  (10) CH3OH      7(2)-8(1) A-                  1.50  OriMC-1         OSO     20m  Joh84  Sas84                          
   81261.441*(12) CH3CH2CN   9(2,7)-8(2,6)                 0.40  OriMC-1         OSO     20m  Joh84                                 
   81477.49  (10) HNO        1(0,1)-0(0,0)                 0.033 Sgr B2          NRAO    11m  Uli77  Sai72                          
U  81478.         unidentified                             0.10  IRC+10216       OSO     20m  Joh84                                 
U  81506.1   ( 6) unidentified                             0.19  Sgr B2          BTL      7m  Cum85                                 
U  81507.         unidentified                             0.10  IRC+10216       OSO     20m  Joh84                                 
   81534.125*(11) HC13CCN    9-8                           0.050 Sgr B2          BTL      7m  Wan78                                 
   81541.981*( 5) HCC13CN    9-8                           0.052 Sgr B2          BTL      7m  Wan78                                 
   81586.188*(48) H2CCO      4(1,3)-3(1,2)                 0.15  Sgr B2          NRAO    11m  Tur77                                 
   81653.08  (10) CH3OH      18(4)-19(3) E                 0.35  OriMC-1         OSO     20m  Joh84  Sas84                          
   81881.468*( 1) HC3N       9-8                           2.51  Sgr B2          BTL      7m  Wan78                                 
   82082.730*(26) HC3N       9-8 v7 1e-1e                  0.30  OriMC-1         OSO     20m  Joh84                                 
   82101.67 *( 5) HNCS       7(0,7)-6(0,6)                 0.05  Sgr B2          NRAO    11m  Fre79                                 
   82124.322*(51) 34SO2      10(1,9)-9(2,8)                0.10  OriMC-1         OSO     20m  Joh84                                 
   82200.372*(26) HC3N       9-8 v7 1f-1f                  0.23  OriMC-1         OSO     20m  Joh84                                 
   82458.616*(12) CH3CH2CN   9(1,8)-8(1,7)                 0.45  OriMC-1         OSO     20m  Joh84                                 
   82539.041*( 5) HC5N       31-30                         0.13  OriMC-1         NRAO    11m  Buj81                                 
   82649.30  (10) CH3OCH3    3(1,3)-2(0,2) AE+EA            b    OriMC-1         NRAO    11m  Cla79  Cla79                          
   82650.18  (10) CH3OCH3    3(1,3)-2(0,2) EE              0.2b  OriMC-1         NRAO    11m  Cla79  Cla79                          
   82651.08  (10) CH3OCH3    3(1,3)-2(0,2) AA               b    OriMC-1         NRAO    11m  Cla79  Cla79                          
   82686.50  (10) CH3OCH3    4(2,2)-4(1,3) AE+EA           0.10  OriMC-1         NRAO    11m  Cla79  Cla79                          
   82688.77  (10) CH3OCH3    4(2,2)-4(1,3) EE              0.12  OriMC-1         NRAO    11m  Cla79  Cla79                          
   82691.14  (10) CH3OCH3    4(2,2)-4(1,3) AA              0.08  OriMC-1         NRAO    11m  Cla79  Cla79                          
   82951.970*(10) SO2        13(4,10)-14(3,11)             1.10  OriMC-1         OSO     20m  Sch83                                 
U  82967.3   ( 4) unidentified                             0.16  Sgr B2          BTL      7m  Cum85                                 
   83043.782*(45) 34SO2      8(1,7)-8(0,8)                 0.50  OriMC-1         OSO     20m  Sch83                                 
   83057.99 *(48) OC34S      7-6                           0.040 Sgr B2          BTL      7m  Gol81                                 
   83097.53 *(11) CH3OCH3    14(2,12)-14(1,13) AE+EA        b    OriMC-1         OSO     20m  Joh84                                 
   83099.00 *( 9) CH3OCH3    14(2,12)-14(1,13) EE          0.35b OriMC-1         OSO     20m  Joh84                                 
   83100.47 *( 7) CH3OCH3    14(2,12)-14(1,13) AA           b    OriMC-1         OSO     20m  Joh84                                 
U  83163.         unidentified                             0.12  IRC+10216       OSO     20m  Joh84                                 
   83207.509*(17) CH2CHCN    9(1,9)-8(1,8)                 0.20  OriMC-1         OSO     20m  Joh84                                 
   83319.56 *( 5) CH3OCH3    8(1,7)-7(2,6) AA               b    OriMC-1         OSO     20m  Joh84                                 
   83321.43 *(14) CH3OCH3    8(1,7)-7(2,6) EE              0.17b OriMC-1         OSO     20m  Joh84                                 
   83323.30 *(23) CH3OCH3    8(1,7)-7(2,6) AE+EA            b    OriMC-1         OSO     20m  Joh84                                 
   83688.086*( 7) SO2        8(1,7)-8(0,8)                ~2     OriMC-1         NRAO    11m  Sny75a                                
   83978.60  (10) CH3NH2     5(1,5)-5(0,5) As F=6-6        0.05b Sgr B2          BTL      7m  Cum85  Tak73                          
   83979.57  (10) CH3NH2     5(1,5)-5(0,5) As F=5-5         b    Sgr B2          BTL      7m  Cum85  Tak73                          
U  84218.0   ( 3) unidentified                             0.06  Sgr B2          NRAO    11m  Hol80                                 
   84219.75 *( 5) CH3CHO     2(1,2)-1(0,1) A               0.05  Sgr B2          BTL      7m  Cum85                                 
U  84308.         unidentified                             0.10  OriMC-1         OSO     20m  Joh84                                 
   84320.936*(32) SO2        32(5,27)-31(6,26)             0.10  OriMC-1         OSO     20m  Joh84                                 
   84410.68 *(12) 34SO?      2(2)-1(1)                     0.03  Sgr B2          BTL      7m  Cum85                                 
   84423.81  (10) CH3OH      13(-3)-14(-2) E               0.80  OriMC-1         OSO     20m  Joh84  Sas84                          
   84449.19 *(16) HCOOCH3    7(2,6)-6(2,5) E               0.45  OriMC-1         OSO     20m  Joh84                                 
   84454.758*(28) HCOOCH3    7(2,6)-6(2,5) A               0.45  OriMC-1         OSO     20m  Joh84                                 
U  84505.35       unidentified                             0.08  OriMC-1         NRAO    11m  Kui77                                 
   84521.21  ( 8) CH3OH      5(-1)-4(0) E                  2.8   Sgr B2          NRAO    11m  Zuc72  Zuc72                          
   84542.331*( 3) NH2CHO     4(0,4)-3(0,3)                 0.21  Sgr B2          BTL      7m  Cum85                                 
   84595.760*( 7) CH3CH2OH   4(2,3)-4(1,4)                 0.06b Sgr B2          BTL      7m  Cum85                                 
   84597.64  (10) CH3NH2     2(1)-2(0) Ea F=2-2             b    Sgr B2          BTL      7m  Cum85  Tak73                          
   84598.54  (10) CH3NH2     2(1)-2(0) Ea F=3-3             b    Sgr B2          BTL      7m  Cum85  Tak73                          
   84632.02  (10) CH3OCH3    3(2,1)-3(1,2) AE+EA           0.14  OriMC-1         NRAO    11m  Cla79  Cla79                          
   84634.40  (10) CH3OCH3    3(2,1)-3(1,2) EE             ~0.09b OriMC-1         NRAO    11m  Cla79  Cla79                          
   84636.80  (10) CH3OCH3    3(2,1)-3(1,2) AA               b    OriMC-1         NRAO    11m  Cla79  Cla79                          
U  84728.2   (16) unidentified                             0.04  Sgr B2          BTL      7m  Cum85                                 
   84744.17  (10) CH3OH      19(4)-18(5) E                 0.46b OriMC-1         OSO     20m  Joh84  Sas84                          
   84746.036*(20) 30SiO      1-0 v=0                       0.08b OriMC-1         NRAO    11m  Cla77                                 
   84807.797*(10) NH2CHO     4(2,3)-3(2,2) n,t             0.18  Sgr B2          NRAO    11m  Wil81                                 
   84848.875*( 4) NH2CHO     4(1,3)-3(1,2)                 0.31  Sgr B2          BTL      7m  Cum85                                 
   84865.166*( 9) O13CS      7-6                           0.032 Sgr B2          BTL      7m  Gol81                                 
   84888.996*(18) NH2CHO     4(3,2)-3(3,1) n,t             0.08b Sgr B2          NRAO    11m  Wil81                                 
   84890.989*(18) NH2CHO     4(3,1)-3(3,0) n,t              b    Sgr B2          NRAO    11m  Wil81                                 
   84946.004*(17) CH2CHCN    9(0,9)-8(0,8)                 0.10  OriMC-1         OSO     20m  Joh84                                 
U  84970.         unidentified                             0.20  OriMC-1         OSO     20m  Joh84                                 
   85093.274*(10) NH2CHO     4(2,2)-3(2,1)                 0.12  Sgr B2          BTL      7m  Cum85                                 
   85139.108*( 2) OCS        7-6                           0.7   Sgr B2          NRAO    11m  Sol73                                 
   85162.256 (40) HC18O+     1-0                           0.1   L134N           BTL      7m  Lan78  Gue82b                         
   85201.348*( 5) HC5N       32-31                         0.030 IRC+10216       BTL      7m  Gol81                                 
U  85230.6   ( 6) unidentified                             0.07  Sgr B2          BTL      7m  Cum85                                 
   85265.470*( 7) CH3CH2OH   6(0,6)-5(1,5)                 0.25  Sgr B2          NRAO    11m  Zuc75                                 
   85302.654*(16) CH2CHCN    9(2,8)-8(2,7)                 0.12  Sgr B2          BTL      7m  Cum85                                 
U  85338.85  ( 5) unidentified                             3.1   TMC-1           NRAO    11m  Tha81                                 
   85347.90  (30) HCS+       2-1                           0.4   OriMC-1         NRAO    11m  Tha81  Gud81                          
   85416.762*(14) CH2CHCN    9(4,6)-8(4,5)                 0.12b OriMC-1         OSO     20m  Joh84                                 
   85416.813*(14) CH2CHCN    9(4,5)-8(4,4)                  b    OriMC-1         OSO     20m  Joh84                                 
   85426.932*(15) CH2CHCN    9(3,7)-8(3,6)                 0.10  OriMC-1         OSO     20m  Joh84                                 
U  85435.         unidentified                             0.2h  Sgr B2          NRAO    11m  Sny73                                 
   85442.601*( 1) CH3CCH     5(3)-4(3)                     0.11  OriMC-1         NRAO    11m  Chu83                                 
   85450.7660*(7) CH3CCH     5(2)-4(2)                     0.14  OriMC-1         NRAO    11m  Chu83                                 
   85455.6665*(6) CH3CCH     5(1)-4(1)                     0.23  OriMC-1         NRAO    11m  Chu83                                 
